branch_entropy,branch_miss_rate
3.05578E-06,0.1807
0.001105,0.1646
1.69363E-05,0.2225
1.06574E-05,0.7087
5.6008E-05,0.6291
1.25498E-06,0.4927
0,0.0007
0.00035212,0.0397
2.2008E-05,0.1304
0.02599382,4.1215
0.04184435,6.9128
0.02821937,12.5656
0.01131648,1.9314
0.00003103,6.1363
0.00475474,0.2054
0.0134608,3.3812
0.00242828,0.401
0.00532546,1.3693
0.0033583,1.7333
0.00199727,0.8237
0.01503783,8.4616
0.00230391,2.7354
0.00990476,1.6232
0.011870107,3.3149
0.023854364,4.1125
0.004670707,0.2006
0.004636636,1.3082
0.015017221,8.3988
0.002165486,2.4414
0.009255671,1.8857
0.00192125,0.3743
0.00002405,6.1096
0.009204757,1.5809
0.002146071,1.716
0.001852121,0.429
0.003959972,1.2644
0.004166067,0.1832
0.00185033,1.7126
0.001725849,0.4269
0.07885623,13.4251
0.08810406,11.8604
0.07531151,11.095
0.07146752,13.1647
0.07436114,11.1048
