branch_entropy,branch_miss_rate
0.000003,0.4449
0.000004,0.1815
0.000003,0.072
0.000098,0.2596
0.000076,0.2327
0.000101,0.3718
0.000002,0.8876
0,0.0008
0.015927,13.5356
0.010634,5.4275
0.082984,26.6278
0.049659,19.5642
0.007742,10.5758
0.139186,35.9889
0.007223,4.5707
0.002241,5.297
0.005907,2.1224
0.010621,2.3489
0.004582,0.3191
0.025331,5.3205
0.01507,9.9565
0.028522,14.6554
0.042455,8.2368
0.111624,33.8868
0.089831,31.4734
0.109038,32.6953
0.097787,28.6137
0.124567,25.1239
0.038314,6.3756
0.068374,17.1428
0.112646,35.666
0.066628,16.3109
0.056359,13.0983
0.0845,14.5085
0.09381,12.6343
0.0799,11.7589
0.0763,14.0813
0.0799,12.6162
0.093,12.6775
0.0794,12.0185
