branch_entropy,branch_miss_rate
0.000011,0.1827
0.000158,0.2453
0.000195,0.2726
0.000124,0.919
0.000031,0.0506
0.000118,0.7268
0.0007,1.2909
0.000004,2.8017
0.095934,18.9903
0.080989,16.9307
0.03198,12.0089
0.104388,28.9411
0.05329,3.7192
0.031144,5.9766
0.016668,2.2588
0.034605,5.4485
0.01315,1.9209
0.020509,8.8054
0.000523,8.2037
0.004218,1.2406
0.027144,0.331
0.044911,10.2323
0.042892,15.1055
0.077642,12.4227
0.115848,29.53
0.039453,3.421
0.035442,4.4536
0.055161,15.067
0.069138,20.162
0.071629,12.6344
0.124422,32.6276
0.141493,23.237
0.135693,18.5107
0.168054,14.2231
0.188575,12.4417
0.160038,11.7548
0.151866,14.0401
0.158218,12.4403
0.185326,12.4654
0.158258,11.8002
