branch_entropy,branch_miss_rate
0.002986,0.1807
0.002892,0.1646
0.003057,0.2225
0.002838,0.7087
0.003281,0.6291
0.003358,0.4927
0.000877,0.0007
0.003595,0.0397
0.003601,0.1304
0.010993,4.1215
0.018529,6.9128
0.004712,12.5656
0.007879,1.9314
0.000412,6.1363
0.002084,0.2054
0.002773,3.3812
0.001863,0.401
0.002928,1.3693
0.000585,1.7333
0.000997,0.8237
0.003893,8.4616
0.004849,2.7354
0.002934,1.6232
0.002773,3.3149
0.010993,4.1125
0.002084,0.2006
0.002928,1.3082
0.003893,8.3988
0.004849,2.4414
0.007879,1.8857
0.001863,0.3743
0.000412,6.1096
0.002934,1.5809
0.000585,1.716
0.000997,0.429
0.002928,1.2644
0.002084,0.1832
0.000585,1.7126
0.000997,0.4269
0.005279,13.4251
0.005956,11.8604
0.003521,11.095
0.004215,13.1647
0.003287,11.1048
