branch_entropy,branch_miss_rate
4.41621E-06,0.181
0.000881236,0.1652
2.91262E-05,0.7382
4.70283E-05,0.7152
1.84144E-05,1.1519
0.000476221,0.8683
1.84173E-06,0.6514
0.058076664,10.3136
0.03513048,8.5019
0.017065268,10.9809
0.006024813,0.5153
0.022208428,4.8313
0.007607434,5.8568
0.00786768,2.0094
0.004832481,1.1642
0.002450539,1.9146
0.014171842,2.6212
0.018588926,4.7282
0.020125997,2.4054
0.005501782,0.5087
0.004310599,1.9631
0.002122365,1.9178
0.01674117,10.9745
0.053939353,10.311
0.032665518,8.509
0.005900404,0.4937
0.022816692,2.416
0.020359899,4.7728
0.006908685,5.8081
0.004301054,1.1505
0.013243126,2.5727
0.004733038,1.9773
0.002352266,1.9207
0.082356708,13.3163
0.092531835,11.7419
0.078655423,11.0227
0.074640509,13.0573
0.077762587,11.6353
0.091085793,11.7465
0.077629761,10.9577
