branch_entropy,branch_miss_rate
0.003857,0.181
0.003853,0.1652
0.004533,0.7382
0.003036,0.7152
0.002183,1.1519
0.001226,0.8683
0.003422,0.6514
0.040272,10.3136
0.014827,8.5019
0.00683,10.9809
0.003667,0.5153
0.006907,4.8313
0.004641,5.8568
0.000514,2.0094
0.003596,1.1642
0.001286,1.9146
0.002824,2.6212
0.013136,2.4054
0.003667,0.5087
0.000514,1.9631
0.001286,1.9178
0.00683,10.9745
0.040272,10.311
0.003667,0.4937
0.013136,2.416
0.006907,4.7728
0.004641,5.8081
0.003596,1.1505
0.002824,2.5727
0.001286,1.9207
0.010032,13.3163
0.009586,11.7419
0.009302,11.0227
0.009504,11.6353
0.008973,10.9577
