branch_entropy,branch_miss_rate
0.005264,0.1071
0.004987,0.2119
0.005274,0.1101
0.004931,0.2391
0.005118,0.1004
0.002451,0.8846
0.003525,4.7218
0.001924,0.6756
0.003155,0.0008
0.028033,4.5766
0.002339,1.7887
0.001895,6.1883
0.002295,3.9162
0.002866,0.6426
0.008526,4.5784
0.00856,9.0759
0.00331,14.1045
0.0053,4.4594
0.004142,9.8455
0.001835,0.2069
0.001183,0.4695
0.008183,1.8737
0.001823,1.7031
0.00197,0.8289
0.018526,14.8575
0.009102,12.2098
0.026186,7.2179
0.027259,12.2339
0.048205,25.3097
0.065609,28.0457
0.029926,21.9327
0.038834,14.1756
0.099726,29.6833
0.037702,22.571
0.04448,15.412
0.124074,31.0127
0.025942,6.4191
0.149921,33.6608
0.04407,25.7277
0.058733,24.5168
0.045234,15.7533
0.059181,31.9935
0.056292,16.3102
0.122207,34.8158
0.050097,26.0696
0.148315,35.8978
0.063072,14.9387
0.064871,13.285
0.061528,12.3385
0.062597,14.9417
0.063003,13.1603
0.062536,13.1136
0.044398,12.4249
0.062878,12.7617
